query_id,min_score,mean_score,median_score,max_score,std_score,num_combinations
2024-111506,0.3333333333333333,0.5408163265306123,0.5833333333333334,0.75,0.09240188916466752,49
2024-127288,0.125,0.30739795918367346,0.3125,0.5,0.0917835730485001,49
2024-127349,0.0,0.15476190476190477,0.16666666666666666,0.25,0.06520506636966263,49
2024-128311,0.16666666666666666,0.22959183673469388,0.25,0.3333333333333333,0.04302418585263102,49
2024-12875,0.25,0.3826530612244897,0.4166666666666667,0.5833333333333334,0.0965950464024689,49
2024-133810,0.0,0.0,0.0,0.0,0.0,49
2024-134629,0.08333333333333333,0.26700680272108845,0.25,0.5,0.09520772110393473,49
2024-141993,0.25,0.5,0.5,0.75,0.09816918156232525,49
2024-143869,0.0,0.32967032967032966,0.3076923076923077,0.46153846153846156,0.09194066225649182,49
2024-146893,0.08333333333333333,0.27721088435374147,0.25,0.5833333333333334,0.11711255306589674,49
2024-147917,0.0,0.07378335949764521,0.07692307692307693,0.38461538461538464,0.08069134867124897,49
2024-149459,0.0,0.08673469387755102,0.125,0.125,0.05761015199304191,49
2024-153051,0.16666666666666666,0.6309523809523809,0.6666666666666666,0.75,0.1178511301977579,49
2024-160253,0.4166666666666667,0.6020408163265307,0.5833333333333334,0.75,0.07195304694321827,49
2024-17909,0.38461538461538464,0.620094191522763,0.6153846153846154,0.8461538461538461,0.12078734104660184,49
2024-206384,0.0,0.06802721088435373,0.0,0.25,0.08362782893295406,49
2024-214052,0.16666666666666666,0.4149659863945578,0.4166666666666667,0.5833333333333334,0.10029688910059002,49
2024-214126,0.0,0.45408163265306123,0.5,0.6666666666666666,0.21299959578184682,49
2024-216957,0.0,0.30272108843537415,0.25,0.5833333333333334,0.12451023957634781,49
2024-217488,0.0,0.07993197278911564,0.08333333333333333,0.3333333333333333,0.08577904906747273,49
2024-219624,0.08333333333333333,0.20238095238095236,0.16666666666666666,0.5,0.09960238411119947,49
2024-219626,0.16666666666666666,0.5,0.5,0.75,0.13149239306175312,49
2024-219631,0.3333333333333333,0.46258503401360546,0.4166666666666667,0.6666666666666666,0.07350402307814391,49
2024-219698,0.08333333333333333,0.2108843537414966,0.25,0.4166666666666667,0.09686415555032751,49
2024-219896,0.0,0.17346938775510204,0.16666666666666666,0.4166666666666667,0.10491970622576315,49
2024-220307,0.15384615384615385,0.1805337519623234,0.15384615384615385,0.3076923076923077,0.05505707352197859,49
2024-221429,0.3333333333333333,0.46428571428571436,0.5,0.5833333333333334,0.06734350297014739,49
2024-223382,0.0,0.06462585034013606,0.08333333333333333,0.08333333333333333,0.03477049030656611,49
2024-224013,0.25,0.46938775510204084,0.5,0.6666666666666666,0.10058485090218534,49
2024-22410,0.16666666666666666,0.3758503401360544,0.3333333333333333,0.6666666666666666,0.09977646356375938,49
2024-224621,0.3333333333333333,0.5374149659863945,0.5,0.75,0.09532915957307155,49
2024-224710,0.3076923076923077,0.45996860282574564,0.46153846153846156,0.6923076923076923,0.07846153217959057,49
2024-28144,0.5,0.5697278911564626,0.5833333333333334,0.6666666666666666,0.042414843242652815,49
2024-29222,0.0,0.09693877551020408,0.08333333333333333,0.25,0.07594256313525888,49
2024-29941,0.4166666666666667,0.6360544217687075,0.6666666666666666,0.8333333333333334,0.09018417403784253,49
2024-33359,0.3333333333333333,0.6139455782312925,0.5833333333333334,0.8333333333333334,0.11255368780798843,49
2024-33513,0.25,0.39115646258503406,0.4166666666666667,0.5833333333333334,0.0845222696584298,49
2024-35269,0.25,0.48341836734693877,0.5,0.625,0.09514314387230366,49
2024-35284,0.2222222222222222,0.44444444444444436,0.4444444444444444,0.6111111111111112,0.09589719026662359,49
2024-37531,0.0,0.1802721088435374,0.25,0.3333333333333333,0.10955866264222044,49
2024-37596,0.16666666666666666,0.2704081632653061,0.25,0.4166666666666667,0.07247372704987251,49
2024-41198,0.0,0.1598639455782313,0.0,0.5,0.1772464612335224,49
2024-41576,0.03333333333333333,0.34829931972789113,0.4,0.6,0.14127075120820135,49
2024-44005,0.0,0.4812925170068027,0.5833333333333334,0.75,0.19580731924658848,49
2024-5992,0.08333333333333333,0.21428571428571425,0.25,0.4166666666666667,0.07142857142857142,49
2024-6778,0.0,0.5544217687074829,0.5833333333333334,0.8333333333333334,0.1960140072683525,49
2024-7058,0.25,0.4846938775510204,0.5,0.6666666666666666,0.09769664364860593,49
2024-76647,0.1875,0.3877551020408163,0.375,0.5625,0.08278051397748955,49
2024-88894,0.0,0.16206482593037216,0.17647058823529413,0.29411764705882354,0.0836382398480209,49
all,0.33223928455753743,0.3497955573088284,0.34856798838868414,0.3715048543585772,0.008280655092817134,49
